id,time,lat,lon,temp,precip,cloudcover,humidity,pressure,sunset,winddir,windgust,windspeed,venue_city,home_country_id
10373541,2018-09-02T20:30:00,45.708889,9.680833,18.3,0.0,,83.74,,2018-09-02T19:57:53+02:00,157.0,7.0,0.0,Bergamo,251
10373542,2018-09-01T18:00:00,44.492314,11.309667,20.7,0.0,1.7,73.22,1014.9,2018-09-01T19:51:44+02:00,149.0,17.0,6.1,Bologna,251
10373543,2018-09-02T20:30:00,45.435356,10.968647,19.5,33.0,,62.09,,2018-09-02T19:52:24+02:00,26.0,6.1,2.4,Verona,251
10373544,2018-09-02T18:00:00,43.780822,11.282258,19.7,0.0,28.4,80.15,,2018-09-02T19:49:13+02:00,100.0,3.2,1.2,Firenze,251
10373545,2018-09-02T20:30:00,41.933886,12.454786,,0.0,,,,,,,,Roma,251
10373546,2018-08-31T20:30:00,45.478025,9.124206,19.5,0.0,,82.81,,2018-08-31T20:03:31+02:00,98.0,6.5,1.4,Milano,251
10373547,2018-09-01T20:30:00,44.794722,10.338611,9.6,0.0,,71.51,,2018-09-01T19:55:59+02:00,351.0,3.5,1.0,Parma,251
10373548,2018-09-02T20:30:00,44.416431,8.952428,21.5,0.0,,72.4,,2018-09-02T19:59:15+02:00,51.0,3.9,1.4,Genova,251
10373549,2018-09-02T20:30:00,44.714722,10.649722,1.9,0.0,,68.86,,2018-09-02T19:52:49+02:00,349.0,0.0,0.0,Reggio nell'Emilia,251
10373550,2018-09-02T20:30:00,45.04175,7.650014,18.2,0.0,,79.49,,2018-09-02T20:05:11+02:00,306.0,9.2,4.3,Torino,251
10373586,2018-09-29T18:00:00,45.109444,7.641111,23.7,0.0,0.0,35.67,1015.3,2018-09-29T19:14:08+02:00,17.0,6.5,4.6,Torino,251
10373588,2018-09-29T15:00:00,41.933886,12.454786,24.6,0.0,0.0,45.34,1014.2,2018-09-29T18:55:45+02:00,261.0,9.7,8.3,Roma,251
10373605,2018-10-21T20:30:00,45.478025,9.124206,13.9,0.0,,48.1,,2018-10-21T18:28:07+02:00,111.0,56.2,9.7,Milano,251
10373620,2018-10-28T20:30:00,40.827967,14.193008,21.5,0.0,,78.45,,2018-10-28T17:04:39+01:00,183.0,20.0,8.0,Napoli,251
10373653,2018-11-11T20:30:00,45.478025,9.124206,13.9,0.0,,83.21,,2018-11-11T16:57:49+01:00,325.0,7.9,3.2,Milano,251
10373692,2018-12-02T20:30:00,41.933886,12.454786,,0.0,,,,,,,,Roma,251
10373706,2018-12-07T20:30:00,45.109444,7.641111,6.0,0.0,,85.44,,2018-12-07T16:47:27+01:00,295.0,5.6,1.1,Torino,251
10373737,2018-12-15T20:30:00,45.04175,7.650014,1.6,0.0,,69.75,,2018-12-15T16:48:04+01:00,37.0,1.4,0.2,Torino,251
10373745,2018-12-22T20:30:00,45.109444,7.641111,3.0,187.9,,80.87,,2018-12-22T16:50:30+01:00,267.0,6.6,1.0,Torino,251
10373769,2018-12-26T20:30:00,45.478025,9.124206,0.0,0.0,,98.56,,2018-12-26T16:45:37+01:00,212.0,6.5,3.2,Milano,251
10373831,2019-01-26T20:30:00,45.478025,9.124206,4.5,0.0,,40.13,,2019-01-26T17:20:56+01:00,89.0,6.5,0.0,Milano,251
10373849,2019-02-03T20:30:00,41.933886,12.454786,9.5,0.0,,80.99,,2019-02-03T17:27:13+01:00,131.0,0.0,0.0,Roma,251
10373928,2019-03-03T20:30:00,40.827967,14.193008,12.5,0.0,,87.16,,2019-03-03T17:56:12+01:00,51.0,2.9,0.0,Napoli,251
10373966,2019-03-17T20:30:00,45.478025,9.124206,12.3,0.0,,45.97,,2019-03-17T18:31:32+01:00,227.0,14.4,9.7,Milano,251
10373990,2019-03-31T15:00:00,41.933886,12.454786,16.7,0.0,0.0,50.23,,2019-03-31T19:34:12+02:00,242.0,,9.7,Roma,251
10374026,2019-04-06T18:00:00,45.109444,7.641111,13.3,0.0,4.9,49.86,1002.7,2019-04-06T20:03:09+02:00,15.0,10.8,8.3,Torino,251
10374066,2019-04-20T20:30:00,45.478025,9.124206,20.0,0.0,,12.09,,2019-04-20T20:15:39+02:00,102.0,7.9,6.5,Milano,251
10374082,2019-04-27T20:30:00,45.478025,9.124206,17.8,0.0,,13.01,,2019-04-27T20:24:38+02:00,225.0,27.4,11.2,Milano,251
10374117,2019-05-12T20:30:00,41.933886,12.454786,,0.0,,,,,,,,Roma,251
10374140,2019-05-19T20:30:00,40.827967,14.193008,16.0,0.0,,73.99,,2019-05-19T20:17:13+02:00,200.0,12.2,4.6,Napoli,251
10418900,2018-08-17T22:15:00,37.356483,-5.981768,30.2,0.0,,48.57,,2018-08-17T21:13:47+02:00,245.0,13.3,4.6,Sevilla,32
10419351,2018-09-15T20:00:00,49.894209,2.263312,17.0,0.0,,70.75,,2018-09-15T20:04:53+02:00,360.0,4.7,3.8,Amiens,17
10419352,2018-09-16T17:00:00,44.897222,-0.561667,28.7,0.0,4.7,31.96,1018.8,2018-09-16T20:11:38+02:00,315.0,23.2,16.0,Bordeaux,17
10419353,2018-09-15T17:00:00,49.179461,-0.396767,20.0,0.0,12.8,59.08,1024.8,2018-09-15T20:15:06+02:00,29.0,20.5,8.5,Caen,17
10419354,2018-09-15T20:00:00,47.324383,5.068342,19.0,0.0,,45.69,,2018-09-15T19:52:15+02:00,10.0,,11.2,Dijon,17
10419355,2018-09-16T21:00:00,43.269722,5.395833,22.4,0.0,100.0,74.71,,2018-09-16T19:47:09+02:00,291.0,0.0,1.3,Marseille,17
10419356,2018-09-15T20:00:00,43.622222,3.811944,23.0,0.0,,67.3,,2018-09-15T19:55:27+02:00,227.0,0.0,8.0,Montpellier,17
10419357,2018-09-16T15:00:00,47.255631,-1.525375,24.5,0.0,0.0,38.58,,2018-09-16T20:16:31+02:00,279.0,5.5,4.5,Nantes,17
10419358,2018-09-14T19:00:00,43.705139,7.192583,24.9,0.0,48.1,75.85,1015.5,2018-09-14T19:43:49+02:00,225.0,12.0,4.3,Nice,17
10419359,2018-09-14T20:45:00,48.841389,2.253056,17.8,0.0,,60.27,,2018-09-14T20:06:27+02:00,41.0,14.4,4.7,Paris,17
10419360,2018-09-15T20:00:00,43.583056,1.434167,22.9,0.0,,47.27,,2018-09-15T20:04:56+02:00,179.0,2.3,7.1,Toulouse,17
10419361,2018-09-22T20:00:00,47.460458,-0.530741,17.7,0.0,15.5,92.96,1018.6,2018-09-22T20:00:22+02:00,210.0,37.1,17.2,Angers,17
10419362,2018-09-23T17:00:00,48.566285,-3.164599,13.2,0.0,80.3,74.35,1025.1,2018-09-23T20:08:54+02:00,360.0,48.9,28.0,Guingamp,17
10419363,2018-09-22T17:00:00,50.631111,3.1375,12.9,0.0,96.7,82.62,1019.9,2018-09-22T19:46:06+02:00,352.0,13.7,0.5,Villeneuve d'Ascq,17
10419364,2018-09-21T20:45:00,43.727606,7.415614,21.2,0.0,,79.94,,2018-09-21T19:30:04+02:00,32.0,9.7,4.6,Monaco,75285
10419365,2018-09-22T20:00:00,43.622222,3.811944,23.7,0.0,13.4,43.4,1019.6,2018-09-22T19:42:37+02:00,297.0,15.5,9.9,Montpellier,17
10419366,2018-09-22T20:00:00,49.246389,4.025,13.3,0.0,100.0,79.58,1018.6,2018-09-22T19:42:22+02:00,81.0,16.6,9.3,Reims,17
10419367,2018-09-23T15:00:00,48.107458,-1.712839,16.0,0.0,100.0,93.62,,2018-09-23T20:03:04+02:00,340.0,11.2,23.4,Rennes,17
10419368,2018-09-22T20:00:00,45.460833,4.390278,20.0,0.0,2.4,26.81,1021.0,2018-09-22T19:40:29+02:00,305.0,9.5,3.7,Saint-etienne,17
10419369,2018-09-22T20:00:00,48.560083,7.755,16.5,0.0,98.4,52.08,1020.5,2018-09-22T19:27:24+02:00,282.0,11.0,6.0,Strasbourg,17
